OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,VOLTAGE,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
109,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,111,Hermit Park,Operational,66,Hermit Park,Queensland,5,23/02/2017,,-19.280025,146.8003155
110,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,112,Stuart,Operational,66,Stuart,Queensland,5,23/02/2017,,-19.3446178,146.848154
111,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,113,Clare South,Operational,66,Clare,Queensland,5,23/02/2017,,-19.83686,147.2125915
112,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,114,Myrtletown,Operational,110,Brisbane Airport,Queensland,5,23/02/2017,,-27.40260988,153.1304177
113,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,115,Griffin,Operational,110,Griffin,Queensland,1,23/02/2017,,-27.27304806,153.0205905
114,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,116,SSMLS,Operational,110,Fortitude Valley,Queensland,5,23/02/2017,,-27.4583985,153.0359545
115,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,117,SSQRT,Operational,110,Petrie Terrace,Queensland,3,23/02/2017,,-27.4660425,153.014017
116,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,118,Blackstone,Operational,110,Swanbank,Queensland,5,23/02/2017,,-27.647566,152.8121335
117,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,119,Eraring,Operational,500,Eraring,New South Wales,5,23/02/2017,,-33.060997,151.5154645
118,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,120,City North,Operational,110,Sydney,New South Wales,5,23/02/2017,,-33.8672695,151.203174
119,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,121,Camellia,Operational,132,Rosehill,New South Wales,5,23/02/2017,,-33.82608,151.030447
120,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,122,Katoomba North,Operational,132,Medlow Bath,New South Wales,5,23/02/2017,,-33.66966795,150.3251858
121,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,123,Oberon,Operational,132,Oberon,New South Wales,5,23/02/2017,,-33.68729985,149.8567731
122,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,124,North Parkes,Operational,132,Goonumbla,New South Wales,5,23/02/2017,,-32.9169905,148.052871
123,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,125,Macarthur Wind Farm,Operational,500,Macarthur,Victoria,5,23/02/2017,,-38.06480431,142.1843602
124,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,126,Tarrone,Operational,500,Tarrone,Victoria,5,23/02/2017,,-38.17916962,142.1810733
125,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,127,Wemen,Operational,220,Liparoo,Victoria,1,23/02/2017,,-34.784857,142.5214605
126,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,128,Whitmore Square,Operational,66,Adelaide,South Australia,5,23/02/2017,,-34.93221422,138.595326
127,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,129,Keswick,Operational,66,Adelaide,South Australia,5,23/02/2017,,-34.944567,138.5787102
128,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,130,City West,Operational,275,Keswick Terminal,South Australia,5,23/02/2017,,-34.939635,138.5798455
129,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,131,Mornington,Operational,110,Mornington,Tasmania,1,23/02/2017,,-42.860617,147.407549
130,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,132,West Wetherill,Operational,132,Wetherill Park,New South Wales,5,23/02/2017,,-33.84197789,150.8813749
131,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,133,Clare North,Operational,132,Clare,South Australia,5,23/02/2017,,-33.82334238,138.6266446
132,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,134,Munyang,Operational,132,Kosciuszko National Park,New South Wales,1,23/02/2017,,-36.35104851,148.411784
133,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,135,Blowering,Operational,132,Wereboldera,New South Wales,5,23/02/2017,,-35.39828527,148.2454032
134,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,136,Abermain,Operational,275,Tivoli,Queensland,2,23/02/2017,,-27.57716312,152.7716419
135,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,137,Townsville ,Operational,66,Yabulu,Queensland,5,23/02/2017,,-19.20152168,146.618939
136,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,138,Larcom Creek,Operational,275,Aldoga,Queensland,1,23/02/2017,,-23.82301,151.0697765
137,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,139,Muja,Operational,220,Muja,Western Australia,5,23/02/2017,,-33.45584897,116.3094649
138,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,140,Hudson Creek 66,Operational,66,Wishart,Northern Territory,5,23/02/2017,,-12.45895163,130.9315735
139,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,141,Hudson Creek 132,Operational,132,Wishart,Northern Territory,5,23/02/2017,,-12.45894622,130.9322857
140,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,142,Warragamba Dam,Operational,132,Warragamba,New South Wales,5,23/02/2017,,-33.88248966,150.5973502
141,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,143,Capital Hill Wind Farm,Operational,132,Lake George,New South Wales,1,23/02/2017,,-35.18739877,149.5230093
142,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,144,Uranquinty,Operational,132,Uranquinty,New South Wales,5,23/02/2017,,-35.17730023,147.2154018
143,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,145,Loy Yang,Operational,66,Loy Yang,Victoria,5,23/02/2017,,-38.25487506,146.571266
144,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,146,Loy Yang ,Operational,500,Loy Yang,Victoria,5,23/02/2017,,-38.25649684,146.5738617
145,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,147,Millstream,Operational,220,Fortescue,Western Australia,5,23/02/2017,,-21.24350431,116.9746552
146,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,148,Mortlake,Operational,500,Mortlake,Victoria,5,23/02/2017,,-38.06221891,142.6703807
147,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,149,Yurralyi Maya,Operational,220,Maitland,Western Australia,5,23/02/2017,Gas,-20.76270789,116.7426053
148,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,150,Red Hill,Operational,132,Koolunga,South Australia,3,23/02/2017,,-33.49521627,138.2674306
149,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,151,Mokota,Operational,132,Ayers,South Australia,1,23/02/2017,,-33.55677562,138.8482522
150,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,152,Athol,Operational,110,Yatala,South Australia,5,23/02/2017,,-34.85309185,138.5384473
151,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,153,Hillcrest,Operational,110,Hillcrest,South Australia,5,23/02/2017,,-34.86184126,138.6481636
152,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,154,Clearview,Operational,110,Clearview,South Australia,5,23/02/2017,,-34.86044456,138.6105131
153,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,155,Holden Hill,Operational,110,Holden Hill,South Australia,3,23/02/2017,,-34.84542828,138.6717566
154,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Zone,156,Croydon,Operational,132,Yatala,South Australia,5,23/02/2017,,-34.90046994,138.5659266
155,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,157,Kilburn South,Operational,110,Kilburn,South Australia,5,23/02/2017,,-34.86519302,138.5858179
156,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Transmission,158,Waterloo East,Operational,132,Tothill Belt,South Australia,1,23/02/2017,,-34.00174338,138.9109263
157,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Sole Use,159,Pannawomica,Operational,132,Fortescue,Western Australia,3,23/02/2017,,-21.68011957,116.4644209
158,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Switchyard,160,Wattle Point Wind Farm,Operational,110,Edithburgh,South Australia,1,23/02/2017,,-35.11035045,137.7057778
159,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Substation,161,Ellenbrook,Operational,132,Whiteman,Western Australia,5,23/02/2017,,-31.796419,115.9612405
160,Substation,"A structure in which high voltage electricity supply is converted, controlled or transformed",Terminal,162,Snowtown North,Operational,110,Barunga,South Australia,5,23/02/2017,,-33.71354245,138.1403936
